speciesid	SRR6154999	SRR6155000	SRR6155001	SRR6155002	SRR6155003	SRR6155004	SRR6155005	SRR6155006	SRR6155007	SRR6155008	SRR6155009	SRR6155010	SRR6155011	SRR6155012	SRR6155013	SRR5947117	SRR5947118	SRR5947119	SRR5947120	SRR5947121	SRR5947122	SRR5947123	SRR5947124	SRR5947125	SRR5947126	SRR5947127	SRR5947128	SRR5947129	SRR5947130	SRR5947131
130755	14859	9916	7346	13284	14873	10146	7569	11374	12462	7855	16793	18186	13780	12797	18921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117752	5888	3832	4169	6383	5214	5369	3240	5234	5565	3099	10809	7005	6402	5893	8355	0	15	34	0	19	0	0	110	40	58	57	20	25	22	44
141271	545	406	341	461	600	353	411	535	397	306	640	575	411	484	773	29	201	72	176	13	144	183	263	638	614	495	555	333	152	600
121339	273	196	246	261	227	195	196	253	187	138	343	254	224	228	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131023	35389	22427	23638	35540	34880	21999	20797	30821	27682	16220	48141	33327	30210	30757	43617	269	259	271	187	341	306	220	282	814	759	742	1004	431	558	759
139191	7803	7102	8502	16928	7386	6181	6142	6990	9351	3977	16000	11109	9665	16680	10067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112036	2384	1931	2025	877	1962	942	1294	2945	1780	834	1543	863	872	999	1025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132483	2029	1362	1269	1783	1694	1422	1377	1921	2225	1058	2835	1935	1708	1745	2222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123812	646	364	403	522	491	371	356	618	474	276	825	580	499	474	772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
147088	665	460	450	503	502	335	353	673	501	311	803	474	486	544	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137959	605	427	485	376	521	303	356	672	446	272	562	372	333	395	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108651	604	351	386	432	472	277	281	579	418	263	659	376	402	415	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101129	1039	867	900	712	1064	555	582	1032	921	469	1346	921	786	706	999	97	278	94	47	75	260	168	217	18	0	0	31	19	136	0
145787	444	263	368	331	336	227	211	470	371	184	488	314	323	316	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125281	346	292	274	244	264	192	223	418	285	157	355	245	183	181	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108691	342	243	257	207	397	164	184	358	257	153	244	215	179	241	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141133	34249	31778	22359	34830	36173	28369	34560	28763	35743	11088	84624	47765	52639	30851	28327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107243	13075	13271	7499	16175	15851	15062	6933	10417	15981	6626	21742	13628	12041	11569	11113	76	81	134	151	96	214	60	144	247	94	72	181	161	188	152
143869	6402	4967	4661	4526	6157	6986	3216	5104	4898	1919	8319	7362	6360	5202	7376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
145555	732	514	991	750	897	855	461	710	586	402	1167	1042	705	954	1146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144076	973	420	797	892	1467	887	422	626	835	713	1284	781	670	987	1094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101637	261	183	207	223	208	190	122	259	201	169	306	269	188	163	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
